scheme_code,scheme_name,fund_house,scheme_type,scheme_category,isin_growth,isin_div_reinvestment,plan,latest_nav,latest_nav_date,abs_return_1y,cagr_3y,cagr_5y,vol_1y_annualized,sharpe_1y_annualized,aum_cr,expense_ratio,status,error
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209KA12Z1,INF209KA13Z9,Direct,110.1903,30-01-2026,0.068776279,0.003418886,-0.072570707,0.011554954,6.22150885,3.9823,0.7,success,
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01YM2,,Direct,117.0035,30-01-2026,0.006893139,0.010087602,0.00279517,0.020013452,0.617959088,1.5849,0.7,success,
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01YO8,,Direct,104.2731,30-01-2026,0.007356663,-0.022014872,-0.015565193,0.03167082,0.414614409,0.3108,0.7,success,
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01LX6,INF209KA11Z3,Regular,154.4732,30-01-2026,0.06510103,-0.018718317,-0.016264337,0.011529221,5.924315149,2.9734,1.3,success,
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01LU2,,Regular,112.5345,30-01-2026,0.002807892,0.00644255,-0.0007775,0.020266014,0.402840766,1.8834,1.3,success,
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01LN7,,Regular,102.0322,30-01-2026,0.002676892,-0.020255626,-0.015870966,0.031635923,0.263458283,6.3449,1.3,success,
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01LR8,,Regular,113.4515,30-01-2026,0.012968866,0.009596158,0.001101367,0.018168331,1.002222728,0.1463,1.3,success,
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01LS6,,Regular,103.1928,30-01-2026,0.003405204,-0.024753553,-0.018584458,0.031307346,0.289060777,0.3416,1.3,success,
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01LV0,,Regular,376.0916,30-01-2026,0.065162435,0.071396804,0.058498403,0.011532022,5.927927662,2189.0353,1.2,success,
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209K01LT4,,Regular,564.5646,30-01-2026,0.065163772,0.071398563,0.058499847,0.011531872,5.928103631,11.3486,1.3,success,
