scheme_code,scheme_name,nav,nav_date,fund_house,scheme_category,scheme_type,isin_growth,isin_div_reinvestment,plan,risk_category,status,error,amc_reputation,debt_score,equity_score,hybrid_score,direct_plan,category_quality
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,110.1903,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209KA12Z1,INF209KA13Z9,Direct,Debt,success,,1,1,0,0,1,1
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.0035,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01YM2,,Direct,Debt,success,,1,1,0,0,1,1
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.2731,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01YO8,,Direct,Debt,success,,1,1,0,0,1,1
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,154.4732,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01LX6,INF209KA11Z3,Regular,Debt,success,,1,1,0,0,0,1
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.5345,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01LU2,,Regular,Debt,success,,1,1,0,0,0,1
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.0322,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01LN7,,Regular,Debt,success,,1,1,0,0,0,1
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.4515,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01LR8,,Regular,Debt,success,,1,1,0,0,0,1
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,103.1928,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01LS6,,Regular,Debt,success,,1,1,0,0,0,1
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,376.0916,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01LV0,,Regular,Debt,success,,1,1,0,0,0,1
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,564.5646,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01LT4,,Regular,Debt,success,,1,1,0,0,0,1
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,391.1114,30-01-2026,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF209K01YN0,,Direct,Debt,success,,1,1,0,0,1,1
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,14-06-2017,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,,Direct,Debt,success,,1,1,0,0,1,1
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1038.3588,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF846K01CU0,Direct,Debt,success,,1,1,0,0,1,1
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2798.5599,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF846K01CR6,,Direct,Debt,success,,1,1,0,0,1,1
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1033.2,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF846K01CT2,INF846K01CS4,Direct,Debt,success,,1,1,0,0,1,1
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1037.4315,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF846K01CV8,INF846K01CW6,Direct,Debt,success,,1,1,0,0,1,1
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,18-05-2015,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,,Regular,Debt,success,,1,1,0,0,0,1
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1038.2143,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF846K01CC8,Regular,Debt,success,,1,1,0,0,0,1
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2709.48,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF846K01CB0,,Regular,Debt,success,,1,1,0,0,0,1
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1032.9725,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF846K01CF1,INF846K01CG9,Regular,Debt,success,,1,1,0,0,0,1
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1037.2852,30-01-2026,Axis Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF846K01CD6,INF846K01CE4,Regular,Debt,success,,1,1,0,0,0,1
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,10.9842,30-01-2026,Bajaj Finserv Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF0QA701649,INF0QA701631,Direct,Hybrid,success,,0,1,0,0,1,1
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.8294,30-01-2026,Bajaj Finserv Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF0QA701615,INF0QA701623,Direct,Hybrid,success,,0,1,0,0,1,1
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.686,30-01-2026,Bajaj Finserv Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF0QA701557,,Regular,Hybrid,success,,0,1,0,0,0,1
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.686,30-01-2026,Bajaj Finserv Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF0QA701565,INF0QA701573,Regular,Hybrid,success,,0,1,0,0,0,1
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.8294,30-01-2026,Bajaj Finserv Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF0QA701607,,Direct,Hybrid,success,,0,1,0,0,1,1
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9087,30-01-2026,Bajaj Finserv Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF0QA701599,INF0QA701581,Regular,Hybrid,success,,0,1,0,0,0,1
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,12.6908,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K019M8,,Direct,Hybrid,success,,0,1,0,0,1,1
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,10.4766,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF194KA1JD3,Direct,Hybrid,success,,0,1,0,0,1,1
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,10.461,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF194K010N5,Direct,Hybrid,success,,0,1,0,0,1,1
121279,Bandhan Banking and PSU Fund - Direct Growth,26.054,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K015G8,,Direct,Hybrid,success,,0,1,0,0,1,1
121281,Bandhan Banking and PSU Fund - Direct IDCW,13.705,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K016G6,INF194K017G4,Direct,Hybrid,success,,0,1,0,0,1,1
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,10.4317,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF194K011N3,Direct,Hybrid,success,,0,1,0,0,1,1
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,10.9422,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K018M0,,Direct,Hybrid,success,,0,1,0,0,1,1
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,11.6428,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K015M6,,Regular,Hybrid,success,,0,1,0,0,0,1
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,10.8769,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF194KA1JC5,Regular,Hybrid,success,,0,1,0,0,0,1
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,10.615,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF194K016M4,Regular,Hybrid,success,,0,1,0,0,0,1
121280,Bandhan Banking and PSU Fund - Regular Growth,25.2713,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K01SN6,,Regular,Hybrid,success,,0,1,0,0,0,1
121282,Bandhan Banking and PSU Fund - Regular IDCW,13.6464,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K01SO4,INF194K012D2,Regular,Hybrid,success,,0,1,0,0,0,1
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,10.6732,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF194K017M2,Regular,Hybrid,success,,0,1,0,0,0,1
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,10.839,30-01-2026,Bandhan Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF194K014M9,,Regular,Hybrid,success,,0,1,0,0,0,1
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.4898,30-01-2026,Canara Robeco Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF760K01KC4,,Direct,Debt,success,,0,1,0,0,1,1
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.7337,30-01-2026,Canara Robeco Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF760K01KE0,INF760K01KD2,Direct,Debt,success,,0,1,0,0,1,1
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,12.3602,30-01-2026,Canara Robeco Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF760K01KF7,,Regular,Debt,success,,0,1,0,0,0,1
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.6341,30-01-2026,Canara Robeco Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF760K01KH3,INF760K01KG5,Regular,Debt,success,,0,1,0,0,0,1
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,25.5186,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01ZW2,,Direct,Debt,success,,1,1,0,0,1,1
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.7616,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01A18,INF740K01A26,Direct,Debt,success,,1,1,0,0,1,1
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1639,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF740KA1OF7,Direct,Debt,success,,1,1,0,0,1,1
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.3763,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01ZX0,INF740K01ZY8,Direct,Debt,success,,1,1,0,0,1,1
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.4048,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01ZZ5,INF740K01A00,Direct,Debt,success,,1,1,0,0,1,1
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1597,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740KA1OG5,INF740KA1OH3,Direct,Debt,success,,1,1,0,0,1,1
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,24.6066,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01ZP6,,Regular,Debt,success,,1,1,0,0,0,1
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.7357,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01ZU6,INF740K01ZV4,Regular,Debt,success,,1,1,0,0,0,1
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1616,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF740KA1OI1,Regular,Debt,success,,1,1,0,0,0,1
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.3623,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01ZQ4,INF740K01ZR2,Regular,Debt,success,,1,1,0,0,0,1
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.3948,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740K01ZS0,INF740K01ZT8,Regular,Debt,success,,1,1,0,0,0,1
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1573,30-01-2026,DSP Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF740KA1OJ9,INF740KA1OK7,Regular,Debt,success,,1,1,0,0,0,1
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.2018,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FC8,,Direct,Debt,success,,0,1,0,0,1,1
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.7455,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FD6,INF843K01FE4,Direct,Debt,success,,0,1,0,0,1,1
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.464,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FG9,,Direct,Debt,success,,0,1,0,0,1,1
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.8978,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FI5,INF843K01FH7,Direct,Debt,success,,0,1,0,0,1,1
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5396,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FF1,,Direct,Debt,success,,0,1,0,0,1,1
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,25.2421,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FK1,,Regular,Debt,success,,0,1,0,0,0,1
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.8523,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FL9,INF843K01FM7,Regular,Debt,success,,0,1,0,0,0,1
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,13.9902,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FO3,,Regular,Debt,success,,0,1,0,0,0,1
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.1415,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FQ8,INF843K01FP0,Regular,Debt,success,,0,1,0,0,0,1
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1324,30-01-2026,Edelweiss Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF843K01FN5,,Regular,Debt,success,,0,1,0,0,0,1
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,24.3243,30-01-2026,Franklin Templeton Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF090I01KR8,,Direct,Debt,success,,0,1,0,0,1,1
129006,Franklin India Banking & PSU Debt Fund - Growth,23.2403,30-01-2026,Franklin Templeton Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF090I01KO5,,Regular,Debt,success,,0,1,0,0,0,1
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,11.5227,30-01-2026,Franklin Templeton Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF090I01KS6,INF090I01KT4,Direct,Debt,success,,0,1,0,0,1,1
129007,Franklin India Banking and PSU Debt Fund - IDCW ,10.8968,30-01-2026,Franklin Templeton Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF090I01KP2,INF090I01KQ0,Regular,Debt,success,,0,1,0,0,0,1
128628,HDFC Banking and PSU Debt Fund - Growth Option,23.6237,30-01-2026,HDFC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF179KA1JC4,,Regular,Debt,success,,1,1,0,0,0,1
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,24.6537,30-01-2026,HDFC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF179KA1IZ7,,Direct,Debt,success,,1,1,0,0,1,1
128627,HDFC Banking and PSU Debt Fund - IDCW Option,10.1251,30-01-2026,HDFC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF179KA1JD2,INF179KA1JE0,Regular,Debt,success,,1,1,0,0,0,1
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0172,30-01-2026,HDFC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF179KA1JA8,INF179KA1JB6,Direct,Debt,success,,1,1,0,0,1,1
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1788,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF917K01HL7,Direct,Debt,success,,0,1,0,0,1,1
151107,HSBC Banking and PSU Debt Fund - Direct Growth,26.3081,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF917K01HH5,,Direct,Debt,success,,0,1,0,0,1,1
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.2006,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF917K01HJ1,INF917K01HI3,Direct,Debt,success,,0,1,0,0,1,1
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3404,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF917K01HK9,Direct,Debt,success,,0,1,0,0,1,1
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.1016,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF677K01AF4,Regular,Debt,success,,0,1,0,0,0,1
151104,HSBC Banking and PSU Debt Fund - Regular Growth,24.9294,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF677K01AE7,,Regular,Debt,success,,0,1,0,0,0,1
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.4324,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,INF677K01AI8,INF677K01AJ6,Regular,Debt,success,,0,1,0,0,0,1
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3111,30-01-2026,HSBC Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,INF917K01HM5,Regular,Debt,success,,0,1,0,0,0,1
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,16-09-2022,ICICI Prudential Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,,Regular,Debt,success,,1,1,0,0,0,1
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,16-09-2022,ICICI Prudential Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,,Regular,Debt,success,,1,1,0,0,0,1
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,24-04-2020,ICICI Prudential Mutual Fund,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,,,Regular,Debt,success,,1,1,0,0,0,1
